FID,OID_,Name,Official_N,X,Y,Address,Postal_Cod,Country,Un_Visited,Date_Visit,HDB,United_Tem
124,125,Yun Lin j,Hong Lim Jiong Temple,103.8388787,1.3663331,791 Ang Mo Kio Avenue 1,569974,Singapore, , , ,United Temple
125,126,Hua Guan Tai Chi,Hwa Kwang Tai Tee Temple,103.840493,1.3579817,99 Sin Ming Road,575586,Singapore, , , ,United Temple
126,127,Hua Guang Da Di Miao,Hwa Kwang Tai Tee Temple,103.8403603,1.3577707,99 Sin Ming Industrial Estate Sector B,575660,Singapore,Visited, , ,United Temple
127,128,Lian Hua Tan,Lian Huay Temple,103.8402396,1.357953,99 Sin Ming Industrial Estate Sector B,575660,Singapore,Visited, , ,United Temple
128,129,Tang Shen Miao,Thomson Temple,103.8405078,1.3576876,99 Sector B Sin Ming Industrial Estate,575660,Singapore,Visited, , ,United Temple
129,130,Tian Hou Hui (Jin Bang Shan Ting),Kampong San Teng Tien How Assn,103.8402101,1.3578485,99 Sin Ming Industrial Estate Sector B,575660,Singapore,Visited, , ,United Temple
130,131,Fu Long Gong,Hoo Leong Keong Temple,103.8403126,1.3580482,"101B Sin Min Industrial Estate, Sin Ming Road",575594,Singapore, , , , 
131,132,Jin Fu Gong ( Lun Zai Wei Da Bo Gong),Thiam Hock Keng Temple,103.8405571,1.3579014,"101 Sin Min Industrial Estate, Sin Ming Rd",575592,Singapore, , , ,United Temple
132,133,Jin Fu Gong Tian Gong Tan Fu Long Gong, ,103.8407551,1.3577689,"101 Sin Min Industrial Estate, Sin Ming Rd",575592,Singapore, , , ,United Temple
133,134,Tian Long Gong,Tian Leong Keng Temple,103.8406656,1.3576127,"101 / a / b Sector B Sin Ming Industrial Estate, 575662 - 4",575662,Singapore,Visited, , ,United Temple
134,135,Shun Xi Gong Shui Chi Lin,Shun Xi Gong Shui Chi Lin,103.8412766,1.4342262,19 Yishun Avenue 9,768891,Singapore,Visited, , ,United Temple
135,136,Placemark, ,103.8414751,1.4343737,19 Yishun Ave 9,768891,Singapore,Visited, , ,United Temple
136,137,Placemark,Reservoir Tua Pek Kong Temple,103.8416548,1.4342235,19 Yishun Ave 9 Lot 59-7Pt MK 19,768891,Singapore, , , ,United Temple
137,138,Ge An Guan,2. ?????,103.8415742,1.3806394,46 Ang Mo Kio Street 61,569161,Singapore,Visited, , ,United Temple
138,139,Shui Gou Guan,???????,103.8417727,1.3807252,46 Ang Mo Kio Street 61,569161,Singapore,Visited, , ,United Temple
139,140,Shui Gou Guan,Shui Gou Guan,103.8416976,1.3808378,46 Ang Mo Kio Street 61,569161,Singapore,Visited, , ,United Temple
140,141,Yi Shun Zhen Lianhemiao, ,103.8415441,1.4339538,17 Yishun Avenue 9,768890,Singapore,Visited, , ,United Temple
141,142,Hua Tang Fu,Hua Tang Fu,103.8413709,1.3808145,48 Ang Mo Kio Street 61,569162,Singapore, , , ,United Temple
142,143,Ji Fu Gong,Ji Fu Gong,103.8415319,1.3808708,48 Ang Mo Kio Street 61,569162,Singapore, , , ,United Temple
143,144,Ju Sheng Miao, ,103.8414702,1.3809995,48 Ang Mo Kio Street 61,569162,Singapore, , , ,United Temple
144,145,Long Quan Yan,Long Quan Yan,103.8413361,1.3809218,48 Ang Mo Kio Street 61,569162,Singapore, , , ,United Temple
145,146,Placemark, ,103.8416767,1.380962,"48 Ang Mo Kio Avenue 6, Street 61",569162,Singapore, , , ,United Temple
146,147,Placemark, ,103.8416231,1.3810666,"48 Ang Mo Kio Avenue 6, Street 61",569162,Singapore, , , ,United Temple
147,148,Yuan Long Sheng Miao,Guan Loong Sheng Temple,103.8417433,1.434132,17 Yishun Avenue 9,768890,Singapore, , , ,United Temple
148,149,Feng Shan Tang,Feng Shan Tang / Jin Fa Dian / Quan Sheng Gong,103.8487983,1.385685,"4 \ 6 \ 8 Ang Mo Kio St 63 Avenue 9, Singapore",569112,Singapore,Visited, , , 
149,150,Jin Shui Guan,Jin Shui Guan,103.8484899,1.3859478,4 \ 6 \ 8 Ang Mo Kio St 63,569112,Singapore, , , ,United Temple
150,151,Longxuyan Jinshuiguan,Longxuyan Jinshuiguan,103.8484738,1.3854705,4 Ang Mo Kio Street 63 Avenue 9,569112,Singapore,Visited, , ,United Temple
151,152,San An Fu,San An Fu,103.848742,1.3854276,4 \ 6 \ 8 Ang Mo Kio St 63,569112,Singapore, , , ,United Temple
152,153,Liu Xun San He Miao,Liuxun Sanhemiao,103.8488306,1.3858991,"4-8, Ang Mo Kio Street 63 Avenue 9",569112,Singapore,Visited, , ,United Temple
153,154,Yun Feng Gu Miao / He Xing Guang Miao,Hoong Hong Koon Beo & Hup Heng Kwang Beo,103.8582365,1.3653886,Ang Mo Kio Street 44,569731,Singapore, , , ,United Temple
154,155,Tian Hou Miao (Yun Feng ),Hoon Hong Tian Haw Boo,103.8583664,1.3656532,Ang Mo Kio Street 44,569731,Singapore, , , ,United Temple
155,156,Hua De Shan Tang,Hua Teck Siang Tng,103.8563794,1.3387592,177L Lorong 7 Toa Payoh,319318,Singapore, , , ,United Temple
156,157,Ju Tian Gong,Chee Tian Keng Temple aka Choo Tian Keng,103.8565779,1.3387538,177P Lorong 7 Toa Payoh,319318,Singapore, , , ,United Temple
157,158,Shan Yuan Tang,Shan Yuan Tang,103.8563714,1.3385956,177 Lorong 7 Toa Payoh,319318,Singapore,Visited, , ,United Temple
158,159,Shan Zhu Yuan Fu De Ci,Shan Zhu Yuan Fu De Ci,103.8565779,1.3385956,177N Lorong 7 Toa Payoh,319318,Singapore, , , ,United Temple
159,160,Tong Xing Gang,Tong Xing Gang,103.856484,1.3385098,177Q Lorong 7 Toa Payoh,319318,Singapore, , , ,United Temple
160,161,Tong Xing Gang Shen Hui,Tong Heng Kang Sin Huay,103.8564867,1.3387565,177Q Lorong 7 Toa Payoh,319318,Singapore, , , ,United Temple
161,162,Wu He Miao (Da Ba Yao ),United Five Temples of Toa Payoh,103.8563714,1.3385044,177 Lorong 7 Toa Payoh,319318,Singapore,Visited, , ,United Temple
162,163,Wu Ji Gong,Wu Ji Gong,103.8563714,1.338676,177 Lorong 7 Toa Payoh,319318,Singapore, , , ,United Temple
163,164,Zhao Ying Ci,Chow Eng Chee,103.8565887,1.3385125,177L Lorong 7 Toa Payoh,319318,Singapore, , , ,United Temple
164,165,Placemark, ,103.8565779,1.3386734,177P Lorong 7 Toa Payoh,319318,Singapore, , , ,United Temple
165,166,Guang Ming Tang,Guang Ming Tang (Kong Beng Tong Temple Association),103.8701437,1.3730527,23 Serangoon North Ave 3,555862,Singapore,Visited, , , 
166,167,Wu Feng Yan Gong,Wu Hong Yan Kong Temple,103.8699049,1.3730581,Serangoon North Avenue 3,555862,Singapore,Visited, , ,United Temple
167,168,Zhong Yi Guan,Tiong Gee Kwan Temple,103.8700203,1.3730608,25 Serangoon North Avenue 3,555862,Singapore,Visited, , ,United Temple
168,169,Zhong Yi Tian Ming Miao,Zhong Yi Tian Ming Miao,103.8699184,1.3732833,21 Serangoon North Avenue 3,555862,Singapore, , , ,United Temple
169,170,Long Zhen Gong,Long Zhen Gong,103.8725864,1.3687284,489 Serangoon North Avenue 1,55589,Singapore, , , ,United Temple
170,171,Zhen Shan Tian Fo Gong,Teng San Tian Hock Temple,103.8727554,1.368774,489 Serangoon North Avenue 1,555891,Singapore,Visited, , ,United Temple
171,172,Long Shan Miao,Long Shan Miao,103.8729494,1.3690232,485 Serangoon North Avenue 1,555890,Singapore, , , ,United Temple
172,173,Qi Zhai Miao ( Jing Shan Lu),Qi Zhai Miao ( Jing Shan Lu),103.8727858,1.3689722,485 Serangoon North Avenue 1,555890,Singapore, , , ,United Temple
173,174,Shun Xing Gu Miao,Shun Xing Gu Miao,103.8728341,1.368806,485 Serangoon North Avenue 1,555890,Singapore,Visited, , ,United Temple
174,175,Xuan Fu Xian Miao,Hiang Foo Siang Temple,103.8730084,1.3688676,485 Serangoon North Avenue 1,555890,Singapore,Visited, , ,United Temple
175,176,Kan Gan La Ma Fo Si,Kancanrama Budh Temple,103.8797241,1.3488079,2 Lorong Ong Lye,536358,Singapore, , , ,United Temple
176,177,Placemark, ,103.8804061,1.3528892,No.16 Hougang St 11,538746,Singapore,Visited, , ,United Temple
177,178,Jin Fu Miao,Chin Fook Meow,103.88039,1.3530368,16 Hougang Street 11,538746,Singapore,Visited, , ,United Temple
178,179,An Ren Gong,An Ren Gong,103.8805786,1.3530495,18 Hougang Street 11,538747,Singapore,Visited, , ,United Temple
179,180,Qin Fu Miao,Chin Fook Meow,103.8805002,1.3528985,20 Hougang Street 11,538748,Singapore,Visited, , ,United Temple
180,181,Qing Yun Miao,Qing Yun Temple,103.8805834,1.3529065,20 Hougang Street 11,538748,Singapore,Visited, , ,United Temple
181,182,Yao Shi Xing Yuan Hui,Buddha of Medicine Welfare Society,103.8824077,1.314073,11 Lorong 25 Geylang,338293,Singapore, , , ,United Temple
182,183,Peng Lai Si,Hong Lai Sze Ltd,103.8872886,1.3491824,150 Hougang Avenue 1,538886,Singapore, , , ,United Temple
183,184,Ba Ye Li Ba Lian He Miao,Paya Lebar United Temple,103.8908278,1.3285608,148A Paya Lebar Road,409018,Singapore,Visited, , ,United Temple
184,185,Tian Sheng Ci Fu Lian He Miao,Tien Sen Sze Hock Combined Temple,103.8911605,1.3282102,146C Paya Lebar Road,409040,Singapore, , , ,United Temple
185,186,Tian Sheng Tan,Tien Sen Tua Temple (Bao Gong Miao),103.8912356,1.3280198,146C Paya Lebar Road,409040,Singapore,Visited, , ,United Temple
186,187,Ci Fu Gong (Jin Quan Lv),Sze Hock Keng,103.8910534,1.3279397,146-D Paya Lebar Road,409041,Singapore,Visited, , ,United Temple
187,188,Ci Fu Gong Da Bo Gon Lian Yi Hui,Sze Hock Keng Tua Peh Kong Association,103.8909622,1.328122,146D Paya Lebar Road,409041,Singapore,Visited, , ,United Temple
188,189,Da Sheng Gong,Da Sheng Kong,103.8910693,1.3286694,148 Paya Lebar Road,198783,Singapore,Visited, , ,United Temple
189,190,Feng Huo Yuan,Fung Huo Yuan Temple aka Da Sheng Kong Chinese Temple,103.8911499,1.3284681,"148 / 150 Paya Lebar Road, Singapore 409018-9",409018,Singapore,Visited, , , 
190,191,Jin Feng Miao,Kim Hong Temple,103.8920301,1.3256408,26 Arumugam Road,409964,Singapore,Visited, , ,United Temple
191,192,Cheng Feng Lianhemiao, ,103.8918191,1.3262278,15 Arumugam Road,409960,Singapore, , , ,United Temple
192,193,Feng Xuan Gong,Feng Xuan Gong,103.8916796,1.3263941,15 Arumugam Rd,409960,Singapore,Visited, , ,United Temple
193,194,Jiu Cai Ba Cheng Huang Miao,Lorong Koo Chye Sheng Hong Temple,103.891854,1.3264236,15 Arumugam Rd,409960,Singapore,Visited, , ,United Temple
