X,Y,NUMBER,NAME,CH-NAME,STREET (SI,ST-Number,SCOPE OF B,Phone,Cable addr,Registered,Capital,Proprietor,CH-Proprie,Telegraphi,Other Note,Page in Di,
103.8513613,1.282806777,13892,WINMORE STORE,永茂行,Collyer Quay,3,Provisions Retailers,6445,NA,1947,NA,Boon Kok Moh,文國茂,,,1099,
103.8515344,1.282833394,2638,"EAST INDIES TRADING CO., LTD.",東印度貿易公司,Collyer Quay,4,Indentors Import & Export Merchants and Commission Agents,,NA,1930,"$50,000",Richard Station Nelson,,,,191,
103.8515344,1.282833394,3030,FARR RUBBER AGENCY LIMITED,法拉樹膠代理有限公司,Collyer Quay,4-1,"Rubber Brokers, Guarantee Brokers",NA,NA,1936,$500,Roger Elvy Prentis,,,,219,
103.8515344,1.282833394,8942,"NASSIM & CO., LTD.",那森有限公司,Collyer Quay,4/4-1,"House, Estate, and General Agents",5319,NA,1947,"$50,000",Directors: Moses Joseph Nassim,,,,685,
103.8523184,1.283437607,6,J. J. H. AARSEN & CO.,亞新公司,Collyer Quay,10,Factory Representative,7183,NA,NA,NA,Aarsen Johan Jacob Heinrich,,,,9,
103.8523184,1.283437607,1063,BONYEAR TRADING CO.,文野貿易公司,Collyer Quay,10,Sundries Retailers,7161,NA,1945,NA,Young Bonyear,楊文野,,,80,
103.8523184,1.283437607,3543,GUAN HUAT & CO.,源發公司,Collyer Quay,10,"Importers, Exporters and Commission Agents",NA,NA,1948,NA,Tan Siew Cheng,陳清秀,,Registered -948,255,
103.8523184,1.283437607,5051,INTERNATIONAL TRADERS SYNDICATE,國際貿易組合,Collyer Quay,10,Importers and Exporters,NA,NA,1948,NA,Joseph Mendez S/O Andrew Mendez,,,,372,
103.8523184,1.283437607,5687,KHONG & CO.,康公司,Collyer Quay,10,"Importers and Exporters, Commission Agents, Contractors",NA,NA,1946,NA,Mah Khong,馬康,,,428,
103.8523184,1.283437607,5690,KHONG SUPPLY & TRANSPORT CO.,聯合運輸及供應公司,Collyer Quay,10,Supply and Transport,NA,NA,1948,NA,Lim Tsien,林津,,,428,
