NUMBER,NAME,CH-NAME,STREET (SI,ST-Number,SCOPE OF B,Phone,Cable addr,Registered,Capital,Proprietor,CH-Proprie,Telegraphi,Other Note,Page in Di,X,Y
"4168",HOCK BEE,福美號,Havelock Road,"127",Barbers,NA,NA,"1933",NA,Tay Ah Bock,鄭亞沐,,,"309",103.843342699999994,1.286936197000000
"11544",CHOP SOON SENG,順成號,Havelock Road,"129",Eating House,NA,NA,"1938",NA,Chua Chim Teng,蔡金鎮,,,"903",103.843342699999994,1.286936197000000
"2137",CHOON WAH & CO.,春泰公司,Havelock Road,"130","General Importers, Exporters and Commission Agents",NA,NA,"1946",NA,Low Yok Kay,劉玉奎,,,"152",103.843342699999994,1.286936197000000
"4767",HUP CHOON KIM KEE,合春金記,Havelock Road,"130",Pig Dealers,"6087",NA,"1941",NA,Low Kim Tah,劉金塔,,,"350",103.843342699999994,1.286936197000000
"3723",HAK WHATT,合發號,Havelock Road,"131",Sundries Retailers,NA,NA,"1948",NA,Quek Kow Mow,郭九母,,,"276",103.843342699999994,1.286936197000000
"13264",TUNG KWONG HUON,長光園,Havelock Road,"133",Eating House,NA,NA,"1938",NA,Ong Kim Gak,王金玉,,,"1041",103.843342699999994,1.286936197000000
"10586",SHENG HIN,盛興號,Havelock Road,"135",Rice Retailers,NA,NA,"1941",NA,Ong Siong Lim,王松林,,,"826",103.843342699999994,1.286936197000000
"2871",ENG HUP HOE,永合和,Havelock Road,"137",,NA,NA,"1945",NA,Koh Sock Tian,許淑田,,"Pork, Fish and Vegetables Dealers","206",103.843342699999994,1.286936197000000
"6073",KOH LEONG SENG,許龍成,Havelock Road,"139",Rice and Sundries Reailers,NA,NA,"1937",NA,Koh Nah,許籃,,,"457",103.843342699999994,1.286936197000000
"774",BAN SAN CHIN FONG HONG,萬山正分行,Havelock Road,"141",Chinese Medicine,NA,NA,"1936",NA,Ho Yok Kim,何育琴,,,"62",103.843342699999994,1.286936197000000
"9431",PAN CHEE,朋聚號,Havelock Road,"143",Eating House,NA,NA,"1938",NA,Goh Ee Kuan,吳裕冠,,,"724",103.843342699999994,1.286936197000000
"4352",HOCK SENG LEONG,福成隆,Havelock Road,"145",Eating House,NA,NA,"1924",NA,Ong Chee,王市,,,"321",103.843342699999994,1.286936197000000
"7205",LIAN SENG CHAN,連成棧,Havelock Road,"169",Gunny Bags (Second-Hand) Dealers,NA,NA,"1948",NA,Yeo Cho Guan,楊子源,,,"544",103.843342699999994,1.286936197000000
"784",BAN SENG,萬成號,Havelock Road,"171",Straw Bags and Talcum Powder,"2814",NA,"1936",NA,Ng Cheong Tee,黃章知,,,"62",103.843342699999994,1.286936197000000
"3958",CHOP HIAP GUAN,協源號,Havelock Road,"179",Manufacturer of Wooden Cases,"4133",NA,"1939",NA,Ng Wee Guan,黃煒烜,,,"293",103.843342699999994,1.286936197000000
"793","BAN SENG CO., TRANSPORT CONTRACTOR",萬成運輸公司,Havelock Road,"199",Lorry for Hire,NA,NA,"1948",NA,Ng Tian Chor,黃天助,,,"63",103.843342699999994,1.286936197000000
"5897",CHOP KIM HENG LEE,金衡利,Havelock Road,"215",Junk Shop,NA,NA,"1947",NA,Thng Pang Heng,湯班衡,,,"444",103.843342699999994,1.286936197000000
"8510",MUI HENG CHOON KEE & CO.,美興俊記公司,Havelock Road,"343",Rattan Dealers,"6353",NA,"1939",NA,Tan Kee Choon,陳居俊,,,"647",103.843342699999994,1.286936197000000
"10882",SIN HOCK HIN & CO.,新福興公司,Havelock Road,"401",Timber Store,"3465",NA,"1947",NA,Ong Jin Teck,王仁德,,,"849",103.843342699999994,1.286936197000000
"5741",KIAN GUAN BEE,建源美,Havelock Road,"429","Dealing in Liquor, Rice and Sundries","6754",NA,"1941",NA,Lim Tiong Bok,林忠木,,,"432",103.843342699999994,1.286936197000000
"12751",THONG HUAT,通發號,Havelock Road,"436",Second-hand Building Materials Dealers,NA,NA,"1942",NA,Nah Hoe Siong,藍祥和,,,"1000",103.843342699999994,1.286936197000000
"10178",SEAH HENG,聲興號,Havelock Road,"439",Local Products Dealers,NA,NA,"1948",NA,Lee Guan Seah,李源聲,,,"794",103.843342699999994,1.286936197000000
"935",BEE WAH,美華號,Havelock Road,440/442,Eating House,NA,NA,"1942",NA,Yip Toh Tee,葉桃俤,,,"72",103.843342699999994,1.286936197000000
"12556",TECK WAH,德華號,Havelock Road,440/442,Eating House,NA,NA,"1946",NA,Yip Toh Tee,葉桃俤,,,"985",103.843342699999994,1.286936197000000
"8800",NAM SOON,南順號,Havelock Road,"441",Rice and Sundries Retailers,NA,NA,"1930",NA,Lee Boo,李務,,,"673",103.843342699999994,1.286936197000000
"6543",KWONG SHENG LOONG,廣勝隆,Havelock Road,"443",,NA,NA,"1935",NA,Tune Maun,鄧萬,,,"491",103.843342699999994,1.286936197000000
"12716",THIEN SENG,添成號,Havelock Road,"448",Bicycles Repairers,NA,NA,"1945",NA,Tan Chew Aik,沉重周易,,,"998",103.843342699999994,1.286936197000000
"3600",GUAN SENG HUAT,源成發,Havelock Road,"450",Liquor Shop,NA,NA,"1928",NA,Ong Keng Bow,王經卯,,,"259",103.843342699999994,1.286936197000000
"14217",YIN CHING YUN KEE,榮清榕記,Havelock Road,"451",Eating House,NA,NA,"1931",NA,Chien Chong Yew,詹忠友,,,"1124",103.843342699999994,1.286936197000000
"14483",YUON HUA COFFEE SHOP,榕華茶室,Havelock Road,"451",Eating House,NA,NA,"1948",NA,Yeck Chon Shee,葉存思,,,"1144",103.843342699999994,1.286936197000000
"14470",YUN HO,榕和號,Havelock Road,"453",Eating House,NA,NA,"1942",NA,Chieng Sin Chin,詹仙清,,,"1143",103.843342699999994,1.286936197000000
"11753",CHOP SUM BIN TAILOR,三民洋服,Havelock Road,"455",Tailoring,NA,NA,"1929",NA,Quan Shark Kit,種叶吉,,,"920",103.843342699999994,1.286936197000000
"12114",CHOP TAI SANG POH,大生和,Havelock Road,"457",Chinese Medicine Dealers,NA,NA,"1929",NA,Yong Lian Kee,楊聯奇,,,"951",103.843342699999994,1.286936197000000
"5231",JOO HUA HENG,裕和興,Havelock Road,"463",Charcoal Dealers,NA,NA,"1924",NA,Tan Cheng Bak,陳清木,,,"389",103.843342699999994,1.286936197000000
"1668",CHEUN GUAN CO.,晉源公司,Havelock Road,"466",Provisions and Sundries Merchants,NA,NA,"1946",NA,Yong Sei Lai,楊思來,,,"123",103.843342699999994,1.286936197000000
"10826",SIN GUAN BEE,新源美,Havelock Road,"467",Selling and Repairing Bicycles,NA,NA,"1935",NA,Yeo Siong Hong,楊祥豐,,,"845",103.843342699999994,1.286936197000000
"11402",SOH CHIN GUAN,蘇真源,Havelock Road,"481",Sundries Retailers,NA,NA,"1947",NA,Soh Chin Guan,蘇真源,,,"891",103.843342699999994,1.286936197000000
"2192",CHUA ENG SIEW,蔡永壽,Havelock Road,"482",Rice Retailers,NA,NA,"1935",NA,Chua Eng Siew,蔡永壽,,,"155",103.843342699999994,1.286936197000000
"726",BAN HUAT SAWMILL CO.,萬發電鋸公司,Havelock Road,"484",Sawmilling,NA,NA,"1945",NA,Ho Soon Lai,何順來,,,"59",103.843342699999994,1.286936197000000
"11889",M. R. SWAMINATHAN & CO.,絲敏那公司,Havelock Road,"501",Provisions Retailers,NA,NA,"1948",NA,M. R. Swaminathan S/O Muthian Ramaiah,,,,"931",103.843342699999994,1.286936197000000
"9399",M. M. PACKIR MOHAMED,伯卡摩哈默,Havelock Road,"509",Sundries Retailers,NA,NA,"1948",NA,Mana Moona Packir Mohamed,,,,"722",103.843342699999994,1.286936197000000
"14087",YEE HO CHUN,葉和棧,Havelock Road,"511",Laundry,NA,NA,"1930",NA,Kok Ah San,郭亞仙,,,"1114",103.843342699999994,1.286936197000000
"3817",HASSINAR BIN ABDULIAH,哈申那,Havelock Road,"515",Sundries Retailers,NA,NA,"1948",NA,Hassinar bin Abdullah,,,,"283",103.843342699999994,1.286936197000000
"7704",K. P. MAIDEEN,邁廷,Havelock Road,"515",Provisions and General Merchants,NA,NA,"1939",NA,K. P. Maideen Abdullah,,,,"584",103.843342699999994,1.286936197000000
"4705",HUAT LOK TING,發樂亭,Havelock Road,"517",Eating House,NA,NA,"1946",NA,Tan Ah Sing,鄭亞新,,,"346",103.843342699999994,1.286936197000000
"4057",HIN CHUON,興泉號,Havelock Road,"521",Coffee Shop,NA,NA,"1947",NA,Tong Jit Sen,唐日成,,,"300",103.843342699999994,1.286936197000000
"2939",CHOP ENG THONG,榮通號,Havelock Road,521-A,Lorry and Sundry Contractors,NA,NA,"1948",NA,Chia Oh Kang,謝烏江,,,"211",103.843342699999994,1.286936197000000
"11133",R. SINAPAN,新那班,Havelock Road,"544",Provisions and Sundries Retailers,NA,NA,"1948",NA,Sinapan S/O Ramsan,,,,"867",103.843342699999994,1.286936197000000
